Centro,Direccion,Municipio,CP,Provincio,Familia,Modalidad,Especialidad
CENTRO PROFESIONAL EUROPEO DE MADRID - ESTUDIOS PROFESIONALES SUPERIORES,CALLE Tajo S/N,VILLAVICIOSA DE ODON,28670,MADRID,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
ACADEMIA DE INGENIEROS DEL EJERCITO DE TIERRA,CTRA de Torrelodones a Colmenar Viejo k.10,HOYO DE MANZANARES,28240,MADRID,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
La Rosaleda,Luis Buñuel, 8,MALAGA,29011,MÁLAGA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
Mare Nostrum,Villanueva de Algaidas, 9,MALAGA,29004,MÁLAGA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
Martín de Aldehuela,Llobregat, s/n. Ciudad Jardín,MALAGA,29014,MÁLAGA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
SAN JUAN BOSCO,AVDA. SAN JUAN BOSCO 33,DOLORES (LOS),30310,MURCIA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
SAN JUAN BOSCO,BARRIO SAN ANTONIO,S/N,LORCA,30800,MURCIA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
SANJE,AVDA. FERNANDO III EL SANTO, Nº28,ALCANTARILLA,30820,MURCIA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
INGENIERO DE LA CIERVA,CTRA.STA.CATALINA,CARRIL PENCHOS,MURCIA,30012,MURCIA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
HESPÉRIDES,C/ DOÑA CONSTANZA, 2,SANTA LUCIA,30202,MURCIA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
DONAPEA,GRUPO INSTITUTO DONAPEA, B47,PAMPLONA/IRUÑA,31009,NAVARRA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
ETI,AVDA. TARAZONA, SN,TUDELA,31500,NAVARRA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
A Farixa,RU/Finca Farixa, s/n (Mariñamansa),OURENSE,32005,OURENSE,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
GAP,99/REZA, 3,OURENSE,32003,OURENSE,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
"I.E.S. ""Fernández Vallín""",Pérez de Ayala, s/n,GIJON,33208,ASTURIAS,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
Centro Integrado de F.P. de Cerdeño,Polígono del Espíritu Santo, s/n,OVIEDO,33010,ASTURIAS,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
Centro Integrado de F.P. de Avilés,Marqués s/n,AVILES,33402,ASTURIAS,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
TRINIDAD ARROYO,CALLE FILIPINOS, S/N,PALENCIA,34004,PALENCIA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
POLITÉCNICO LAS PALMAS,C/ CANALEJAS, 43,PALMAS DE GRAN CANARIA (LAS),35003,LAS PALMAS,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
PROFESOR ANTONIO CABRERA PÉREZ,AVDA. LA PAZ, 3,REMUDAS (LAS),35213,LAS PALMAS,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
ROQUE AMAGRO,C/ JOSÉ SOSA, S/N - EL ROQUE,GALDAR,35460,LAS PALMAS,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
AMURGA,AVDA. ALEJANDRO DEL CASTILLO, S/N,SAN FERNANDO,35100,LAS PALMAS,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
A Xunqueira,RU/Rafael Areses s/n,PONTEVEDRA,36155,PONTEVEDRA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
Escolas Proval,AV/Portugal 171,ANGUSTIA,36350,PONTEVEDRA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
Ricardo Mella,EDA/Vella de Madrid 177,VIGO,36214,PONTEVEDRA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
Francisco Asorey,RU/Os Caeiros 25,CAMBADOS,36630,PONTEVEDRA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
de Rodeira,AV/Ourense s/n,CANGAS,36940,PONTEVEDRA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
GONZALO TORRENTE BALLESTER,CALLE CAP. GENERAL GUTIÉRREZ MELLADO, S/N,SANTA MARTA DE TORMES,37900,SALAMANCA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
GÜÍMAR,C/ HONDURAS, S/N,GÜIMAR,38500,SANTA CRUZ DE TENERIFE,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
VIRGEN DE LAS NIEVES,AVDA. DEL CARMEN, S/N,SANTA CRUZ DE LA PALMA,38700,SANTA CRUZ DE TENERIFE,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
SAN JUAN BOSCO,C/ MARÍA AUXILIADORA, 14,CUESTA (LA),38320,SANTA CRUZ DE TENERIFE,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
LA GUANCHA,AVDA. CRISTÓBAL BARRIOS RGUEZ.,GUANCHA (LA),38440,SANTA CRUZ DE TENERIFE,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
CÉSAR MANRIQUE,AV. PRINCIPES DE ESPAÑA, 5.,SANTA CRUZ DE TENERIFE,38010,SANTA CRUZ DE TENERIFE,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
MARIA AUXILIADORA,GRAL. DAVILA, 73,SANTANDER,39006,CANTABRIA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
VALLE DE CAMARGO,AV.DE BURGOS,S/N,MURIEDAS,39600,CANTABRIA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
Caura,De San Juan, s/n,CORIA DEL RIO,41100,SEVILLA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
Axati,San Juan Bosco, s/n,LORA DEL RIO,41440,SEVILLA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
Polígono Sur,Esclava del Señor, 2,SEVILLA,41013,SEVILLA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
Camas,Autovía Sevilla-Gijón, 3,CAMAS,41900,SEVILLA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
Albert Einstein,Salineros, s/n,SEVILLA,41008,SEVILLA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
Torre de los Herberos,de Andalucía, s/n,DOS HERMANAS,41700,SEVILLA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
Los Viveros,Blas Infante, s/n,SEVILLA,41010,SEVILLA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
PICO FRENTES,GERVASIO MANRIQUE DE LARA, 2,SORIA,42004,SORIA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
La Salle,av. Països Catalans, s/n,TARRAGONA,43007,TARRAGONA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
Comte de Rius,ctra. de Valls, s/n (Zona Educacional),TARRAGONA,43007,TARRAGONA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
de l'Ebre,av. Colom, 34-42,TORTOSA,43500,TARRAGONA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
Pere Martell,Autovia de Salou, s/n,TARRAGONA,43006,TARRAGONA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
JUAN ANTONIO CASTRO,AV. FRANCISCO AGUIRRE, 220,TALAVERA DE LA REINA,45600,TOLEDO,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
AZARQUIEL,PS. SAN EUGENIO, 21,TOLEDO,45003,TOLEDO,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
ALONSO QUIJANO,AV. REYES CATOLICOS, 16,QUINTANAR DE LA ORDEN,45800,TOLEDO,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
LUIS AMIGÓ,CR DE BÉTERA S/N,GODELLA,46110,VALENCIA/VALÈNCIA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
ESCUELA PROFESIONAL LA SALLE,CL SAN MARTÍN 56,PATERNA,46980,VALENCIA/VALÈNCIA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
VICENTE BLASCO IBÁÑEZ,AV REGNE DE VALENCIA 46,VALENCIA,46005,VALENCIA/VALÈNCIA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
TIRANT LO BLANC,CL DELS ESTUDIANTS 2,GANDIA,46701,VALENCIA/VALÈNCIA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
GONZALO ANAYA,CL LES PALMERES POL.IND.VIRGEN DE LA SALUD 1,XIRIVELLA,46950,VALENCIA/VALÈNCIA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
FEDERICA MONTSENY,AV PRIMERO DE MAYO S/N,BURJASSOT,46100,VALENCIA/VALÈNCIA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
PERE BOÏL,CL CERAMISTA ALFONS BLAT 12,MANISES,46940,VALENCIA/VALÈNCIA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
CRISTO REY,AVENIDA DE GIJÓN, 17,VALLADOLID,47009,VALLADOLID,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
GALILEO,CARRETERA VILLABÁÑEZ, S/N,VALLADOLID,47012,VALLADOLID,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
NICOLAS LARBURU,Aldapa 3,SAN VICENTE DE BARAKALDO,48901,BIZKAIA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
SALESIANOS DEUSTO-MARIA AUXILIADORA-SAN JUAN BOSCO,Lehendakari Aguirre 75,BILBAO,48014,BIZKAIA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
EMILIO CAMPUZANO,Santos Juanes 7,BILBAO,48006,BIZKAIA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
TXORIERRI S.COOP.LTDA.,Untzaga Ibaia 1,ARTEAGA DERIO,48160,BIZKAIA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
SOMORROSTRO,San Juan 10,SAN JUAN DE MUSKIZ,48550,BIZKAIA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
IBAIONDO,Venancio Echevarria 18,ARENAS (LAS)/AREETA,48930,BIZKAIA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
LEA-ARTIBAI,Xemein  19,MARKINA-XEMEIN,48270,BIZKAIA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
SAN JORGE,Pajares 34,SANTURTZI,48980,BIZKAIA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
ANDRA MARI,Elexalde, z/g,ELEXALDE GALDAKAO,48960,BIZKAIA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
ZABALBURU,Esperanza 12,BILBAO,48005,BIZKAIA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
TARTANGA,Tartanga Kalea 15,ALTZAGA,48950,BIZKAIA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
SALESIANO NTRA. SRA.DEL PILAR,CL. MARÍA AUXILIADORA, 57,ZARAGOZA,50009,ZARAGOZA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
RÍO GÁLLEGO,CL. RÍO PIEDRA, 4,ZARAGOZA,50014,ZARAGOZA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
TIEMPOS MODERNOS,CL. CINEASTA SEGUNDO DE CHOMÓN, 4,ZARAGOZA,50018,ZARAGOZA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
ANDALÁN,CL. PARÍS, 1,ZARAGOZA,50003,ZARAGOZA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas de Telecomunicaciones e Informáticos
LAUDIOALDE LANBIDE ESKOLA,Virgen del Carmen 17,LAUDIO/LLODIO,01400,ARABA/ÁLAVA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
EGIBIDE LH-FP,Francia 32,VITORIA-GASTEIZ,01002,ARABA/ÁLAVA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
JUSTO MILLÁN,CM. VIEJO DE ISSO, S/N,HELLIN,02400,ALBACETE,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
CENCIBEL,AV. FRANCISCO TOMAS Y VALIENTE, S/N,VILLARROBLEDO,02600,ALBACETE,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
ANTONIO JOSÉ CAVANILLES,AV ALCALDE LORENZO CARBONELL 32-34,ALICANTE/ALACANT,03007,ALICANTE/ALACANT,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
SIXTO MARCO,AV SANTA POLA 6,ELCHE/ELX,03203,ALICANTE/ALACANT,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
EL PALMERAL,AV DEL DOCTOR GARCÍA ROGEL 28,ORIHUELA,03300,ALICANTE/ALACANT,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
LAS LAGUNAS,AV DE LAS CORTES VALENCIANAS S/N,TORREVIEJA,03183,ALICANTE/ALACANT,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
MARCOS ZARAGOZA,CL FERROCARRIL 22,VILLAJOYOSA / VILA JOIOSA (LA),03570,ALICANTE/ALACANT,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
ANTONIO NAVARRO SANTAFÉ,LG SAN BENITO S/N,VILLENA,03400,ALICANTE/ALACANT,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
LA CANAL,CL FELIPE V 4,PETRER,03610,ALICANTE/ALACANT,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
FEMPA,CL BENIJÓFAR (POL. IND. AGUA AMARGA) 4-6,ALICANTE/ALACANT,03008,ALICANTE/ALACANT,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
Alhamilla,García Lorca, 130,ALMERIA,04005,ALMERÍA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
Murgi,Príncipes de España, 17,EJIDO (EL),04700,ALMERÍA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
MIGUEL DURAN,AV.DE SANTO TOMAS S/N,AZUAGA,06920,BADAJOZ,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
MANACOR,CAMÍ DE SES TAPARERES, S/N,MANACOR,07500,ILLES BALEARS,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
ARXIDUC LLUÍS SALVADOR,GILABERT DE CENTELLES, 12,PALMA,07005,ILLES BALEARS,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
La Pineda,c. de la Batlloria, s/n,BADALONA,08917,BARCELONA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
Anna Gironella de Mundet,pg. Vall d'Hebron, s/n,BARCELONA,08035,BARCELONA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
Escola del Treball,c. Comte d'Urgell, 187,BARCELONA,08036,BARCELONA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
Rambla Prim,c. Cristòbal de Moura, 223,BARCELONA,08019,BARCELONA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
Llobregat,c. Enric Prat de la Riba, 11-17,HOSPITALET DE LLOBREGAT (L'),08901,BARCELONA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
de Mollet del Vallès,av. Burgos, 96,MOLLET DEL VALLES,08100,BARCELONA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
Diocesana,c. Vicenç Vidal, 2,NAVAS,08670,BARCELONA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
Torre Roja,av. dels Jocs Olímpics, 8,VILADECANS,08840,BARCELONA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
Miquel Martí i Pol,av. Mare de Déu de Montserrat, 51,CORNELLA DE LLOBREGAT,08940,BARCELONA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
Ceir - Arco Aragó,c. Aragó, 135,BARCELONA,08015,BARCELONA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
de Badia del Vallès,c. Mallorca, s/n,BADIA DEL VALLES,08214,BARCELONA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
Santa Eulàlia,av. Santa Eulàlia, 72,TERRASSA,08223,BARCELONA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
El Palau,c. Empordà, 7-13,SANT ANDREU DE LA BARCA,08740,BARCELONA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
de Nàutica de Barcelona,c. de l'Escar, 6-8,BARCELONA,08039,BARCELONA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
CAMINO DE SANTIAGO,CALLE FRANCISCO DE VITORIA, S/N,BURGOS,09006,BURGOS,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
SIMÓN DE COLONIA,CALLE FRANCISCO DE VITORIA S/N.,BURGOS,09006,BURGOS,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
JAVIER GARCIA TELLEZ,AV.DE CERVANTES S/N,CACERES,10005,CÁCERES,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
Virgen de la Esperanza,La Banqueta, 10-12,LINEA DE LA CONCEPCION (LA),11300,CÁDIZ,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
Pablo Ruiz Picasso,de la Diputación, s/n,CHICLANA DE LA FRONTERA,11130,CÁDIZ,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
Sancti Petri,La Magdalena, s/n,SAN FERNANDO,11100,CÁDIZ,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
Torre Almirante,del Rosario, s/n,ALGECIRAS,11205,CÁDIZ,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
LLOMBAI,AV CARDENAL VICENTE ENRIQUE TARANCÓN 7,BURRIANA,12530,CASTELLÓN/CASTELLÓ,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
MIRALCAMP,CM DEL MIRALCAMP 126,VILLARREAL,12540,CASTELLÓN/CASTELLÓ,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
ALTO PALANCIA,AV DE LA CONSTITUCIÓN S/N,SEGORBE,12400,CASTELLÓN/CASTELLÓ,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
MERCURIO,CL. EUROPA, S/N,ALMADEN,13400,CIUDAD REAL,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
HERMANO GÁRATE,CL. RAMIREZ DE ARELLANO, 1,CIUDAD REAL,13001,CIUDAD REAL,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
SAN JUAN BOSCO,CL. PORTUGAL,1,PUERTOLLANO,13500,CIUDAD REAL,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
GREGORIO PRIETO,AV. DE LOS ESTUDIANTES, S/N,VALDEPEÑAS,13300,CIUDAD REAL,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
Maimónides,Alfonso XIII, 4,CORDOBA,14001,CÓRDOBA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
Emilio Canalejo Olmeda,del Trabajo, 24,MONTILLA,14550,CÓRDOBA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
As Mariñas,AV/da Coruña s/n,BETANZOS,15300,A CORUÑA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
Urbano Lugrís,AV/de Arteixo,CORUÑA (A),15007,A CORUÑA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
Universidade Laboral,RU/Salvador Allende,BURGO (O),15670,A CORUÑA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
Ferrolterra,AV/Ramón y Cajal s/n,FERROL,15403,A CORUÑA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
Coroso,RU/dos Estudantes 5,SANTA UXIA DE RIBEIRA,15960,A CORUÑA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
Politécnico de Santiago,RU/Rosalia de Castro 133,SANTIAGO DE COMPOSTELA,15706,A CORUÑA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
de Cedeira,RU/do Ensino s/n,ACEA,15350,A CORUÑA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
SAN JOSÉ,CL. FUENSANTA, 3,CUENCA,16002,CUENCA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
Baix Empordà,av. de les Corts Catalanes, s/n,PALAFRUGELL,17200,GIRONA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
Serrallarga,c. Joan Benejam, 1,BLANES,17300,GIRONA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
Santa Eugènia,c. Enric Marquès i Ribalta, 3,GIRONA,17006,GIRONA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
Politécnico Hermenegildo Lanz,Albondón, 7,GRANADA,18003,GRANADA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
Acci,Buenos Aires, 68,GUADIX,18500,GRANADA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
PROFESOR DOMÍNGUEZ ORTIZ,AV. SIGLO XXI, S/N,AZUQUECA DE HENARES,19200,GUADALAJARA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
MONDRAGON GOI ESKOLA POLITEKNIKOA,P ARRASATE, LORAMENDI, 4,ARRASATE/MONDRAGON,20500,GIPUZKOA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
SALESIANOS URNIETA,Ergoyen 6,URNIETA,20130,GIPUZKOA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
MUTRIKU,Magdalena 15,MUTRIKU,20830,GIPUZKOA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
BIDASOA,Elizatxo 10,IRUN,20303,GIPUZKOA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
DE INNOVACIÓN SOCIAL/GIZARTE BERRIKUNTZAKO,Karmelo Labaka 7,HERNANI,20120,GIPUZKOA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
Escuelas Profesionales de la Sagrada Familia, SAFA-Funcadia,Alameda de Sundheim, 3,HUELVA,21003,HUELVA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
Pintor Pedro Gómez,Manuel Siurot, 40,HUELVA,21002,HUELVA,ELECTRICIDAD Y ELECTRÓNICA,Diurno,Sistemas Electrotécnicos y Automatizados
